simulation_id,group,team_name,pot,confederations
4,E,Algeria,3,CAF
4,E,UEFA 2,4,UEFA
4,F,England,1,UEFA
4,F,Morocco,2,CAF
4,F,Qatar,3,AFC
4,F,New Zealand,4,OFC
4,G,Portugal,1,UEFA
4,G,South Korea,2,AFC
4,G,Panama,3,CONCACAF
4,G,Ghana,4,CAF
4,H,Germany,1,UEFA
4,H,Australia,2,AFC
4,H,Paraguay,3,CONMEBOL
4,H,FIFA 1,4,"OFC,CONCACAF,CAF"
4,I,Spain,1,UEFA
4,I,Switzerland,2,UEFA
4,I,South Africa,3,CAF
4,I,FIFA 2,4,"CONMEBOL,AFC,CONCACAF"
4,J,Brazil,1,CONMEBOL
4,J,Austria,2,UEFA
4,J,Norway,3,UEFA
4,J,Jordan,4,AFC
4,K,Netherlands,1,UEFA
4,K,Colombia,2,CONMEBOL
4,K,Saudi Arabia,3,AFC
4,K,Cape Verde,4,CAF
4,L,Argentina,1,CONMEBOL
4,L,Croatia,2,UEFA
4,L,Uzbekistan,3,AFC
4,L,Haiti,4,CONCACAF
5,A,Mexico,1,CONCACAF
5,A,Colombia,2,CONMEBOL
5,A,Qatar,3,AFC
5,A,UEFA 1,4,UEFA
5,B,Canada,1,CONCACAF
5,B,Japan,2,AFC
5,B,Paraguay,3,CONMEBOL
5,B,UEFA 2,4,UEFA
5,C,Germany,1,UEFA
5,C,Ecuador,2,CONMEBOL
5,C,Ivory Coast,3,CAF
5,C,Jordan,4,AFC
5,D,United States,1,CONCACAF
5,D,Uruguay,2,CONMEBOL
5,D,Algeria,3,CAF
5,D,UEFA 4,4,UEFA
5,E,England,1,UEFA
5,E,Austria,2,UEFA
5,E,Panama,3,CONCACAF
5,E,Cape Verde,4,CAF
5,F,Portugal,1,UEFA
5,F,Morocco,2,CAF
5,F,Saudi Arabia,3,AFC
5,F,Haiti,4,CONCACAF
5,G,Netherlands,1,UEFA
5,G,Croatia,2,UEFA
5,G,Uzbekistan,3,AFC
