,Name,Rank,Points,Country,Tournaments_Played,Best_Rank
128,Pierre-Hugues Herbert,129,474,France,22,36
129,Fabio Fognini,130,462,Italy,24,9
130,Christopher Eubanks,131,454,USA,27,29
131,Francesco Passaro,132,453,Italy,29,89
132,Roman Andres Burruchaga,133,453,Argentina,31,117
133,Matteo Gigante,134,449,Italy,24,130
134,Colton Smith,135,448,USA,0,135
135,Vilius Gaubas,136,447,Lithuania,27,132
136,Yannick Hanfmann,137,440,Germany,31,45
137,Lucas Pouille,138,439,France,14,10
138,Federico Agustin Gomez,139,439,Argentina,30,133
139,Martin Landaluce,140,439,Spain,26,133
140,Andrea Pellegrino,141,437,Italy,24,136
141,Billy Harris,142,426,United Kingdom,34,101
142,Thiago Monteiro,143,424,Brazil,23,61
143,Alexander Blockx,144,423,Belgium,21,140
144,Nicolas Jarry,145,418,Chile,24,16
145,Shintaro Mochizuki,146,413,Japan,19,129
146,Felipe Meligeni Alves,147,406,Brazil,24,117
147,Thanasi Kokkinakis,148,405,Australia,24,65
148,Jenson Brooksby,149,405,USA,0,33
149,Liam Draxl,150,403,Canada,19,142
150,Kyrian Jacquet,151,389,France,15,142
151,Marco Trungelliti,152,388,Argentina,26,112
152,Ignacio Buse,153,387,Peru,22,152
153,Federico Coria,154,386,Argentina,34,49
154,Stan Wawrinka,155,382,Switzerland,23,3
155,Juan Pablo Ficovich,156,373,Argentina,34,125
156,Taro Daniel,157,370,Japan,30,58
157,Henrique Rocha,158,366,Portugal,29,149
158,Nicolas Moreno de Alboran,159,364,USA,27,107
159,Zsombor Piros,160,362,Hungary,28,106
160,Jerome Kym,161,355,Switzerland,15,123
161,Mitchell Krueger,162,347,USA,28,135
162,Chris Rodesch,163,346,Luxembourg,11,163
163,Li Tu,164,342,Australia,28,164
164,Marc-Andrea Huesler,165,340,Switzerland,26,47
165,Max Purcell,166,338,Australia,31,40
166,Mark Lajal,167,338,Estonia,27,167
167,Lukas Neumayer,168,338,Austria,33,166
168,Hady Habib,169,336,Lebanon,29,159
169,Daniel Evans,170,325,United Kingdom,29,21
170,Richard Gasquet,171,324,France,32,7
171,Coleman Wong,172,321,Hong Kong,28,128
172,Dino Prižmić,173,320,Croatia,16,155
173,Ugo Blanchet,174,317,France,22,139
174,Guy Den Ouden,175,317,Netherlands,19,174
175,Hugo Grenier,176,316,France,23,95
176,James McCabe,177,314,Australia,24,176
177,Dmitry Popko,178,313,Kazakhstan,29,155
178,Yosuke Watanuki,179,312,Japan,16,72
179,Calvin Hemery,180,310,France,26,116
180,Alex Bolt,181,309,Australia,22,125
181,Luca Van Assche,182,309,France,23,63
182,Alibek Kachmazov,183,308,Russia,27,161
183,Duje Ajduković,184,307,Croatia,25,105
184,Harold Mayot,185,304,France,28,103
185,Federico Arnaboldi,186,299,Italy,22,183
186,Lukas Klein,187,298,Slovakia,25,109
187,Sho Shimabukuro,188,295,Japan,20,135
188,Alexander Ritschard,189,294,Switzerland,24,99
189,Mikhail Kukushkin,190,294,Kazakhstan,22,39
190,Murphy Cassone,191,294,USA,7,191
191,Alvaro Guillen Meza,192,292,Ecuador,28,175
192,Constant Lestienne,193,289,France,32,48
193,Santiago Rodriguez Taverna,194,288,Argentina,34,157
194,August Holmgren,195,285,Denmark,21,163
195,Benjamin Hassan,196,284,Lebanon,29,143
196,Titouan Droguet,197,283,France,21,130
197,Jurij Rodionov,198,283,Austria,25,87
198,Jay Clarke,199,283,United Kingdom,22,153
199,James Kent Trotter,200,279,Japan,17,170
200,Facundo Diaz Acosta,201,277,Argentina,28,47
201,Jan Choinski,202,277,United Kingdom,33,126
202,Jason Kubler,203,275,Australia,11,63
203,Gauthier Onclin,204,274,Belgium,29,192
204,Omar Jasika,205,271,Australia,30,177
205,Daniel Rincon,206,271,Spain,26,181
206,Pol Martin Tiffon,207,271,Spain,25,197
207,Yasutaka Uchiyama,208,269,Japan,23,78
208,Albert Ramos-Vinolas,209,265,Spain,0,17
209,Alexis Galarneau,210,265,Canada,23,153
210,Alejandro Moro Canas,211,262,Spain,26,142
211,Timofey Skatov,212,262,Kazakhstan,21,123
212,Vitaliy Sachko,213,262,Ukraine,23,156
213,Pavel Kotov,214,257,Russia,23,50
214,Clement Tabur,215,254,France,28,202
215,Aslan Karatsev,216,254,Russia,18,14
216,Borna Gojo,217,253,Croatia,12,72
217,Yuta Shimizu,218,253,Japan,21,180
218,Justin Engel,219,253,Germany,12,219
219,Aziz Dougaz,220,252,Tunisia,32,185
220,Rodrigo Pacheco Mendez,221,252,Mexico,17,221
221,Rio Noguchi,222,251,Japan,28,201
222,Murkel Dellien,223,250,Bolivia,34,168
223,Andrea Collarini,224,249,Argentina,25,177
224,Dimitar Kuzmanov,225,248,Bulgaria,23,159
225,Yan Bai,226,248,China,25,200
226,Gustavo Heide,227,247,Brazil,22,142
227,Khumoyun Sultanov,228,247,Uzbekistan,20,215
228,Ilia Simakin,229,247,Russia,21,228
229,Facundo Mena,230,247,Argentina,23,127
230,Filip Cristian Jianu,231,247,Romania,38,210
231,Zachary Svajda,232,246,USA,27,102
232,Arthur Bouquier,233,246,France,23,189
233,Viktor Durasovic,234,245,Norway,28,234
234,Elias Ymer,235,244,Sweden,27,105
235,Johannus Monday,236,243,United Kingdom,13,232
236,Adolfo Daniel Vallejo,237,243,Paraguay,25,187
237,Clement Chidekh,238,242,France,18,184
238,Luka Pavlovic,239,241,France,21,209
239,Daniel Merida,240,241,Spain,28,240
240,Kimmer Coppejans,241,240,Belgium,14,97
241,Francesco Maestrelli,242,240,Italy,28,149
242,Nicolas Mejia,243,240,Colombia,19,190
243,Dominic Stricker,244,239,Switzerland,14,88
244,Nerman Fatic,245,239,Bosnia &amp; Herzegovina,28,191
245,Patrick Kypson,246,238,USA,25,133
246,Yu Hsiou Hsu,247,235,Chinese Taipei,22,158
247,Bernard Tomic,248,235,Australia,33,17
248,Fajing Sun,249,231,China,26,198
249,Juan Pablo Varillas,250,231,Peru,24,60
250,Beibit Zhukayev,251,229,Kazakhstan,24,171
251,Oliver Crawford,252,229,United Kingdom,28,190
252,Saba Purtseladze,253,229,Georgia,31,237
253,Joao Lucas Reis Da Silva,254,226,Brazil,29,254
254,Edas Butvilas,255,225,Lithuania,18,201
255,Max Houkes,256,222,Netherlands,27,249
256,Marek Gengel,257,222,Czechia,22,229
257,Matias Soto,258,220,Chile,24,240
258,Antoine Escoffier,259,220,France,29,135
259,Paul Jubb,260,218,United Kingdom,25,180
260,Maximilian Marterer,261,216,Germany,24,45
261,Marat Sharipov,262,216,Russia,25,243
262,Gabriel Debru,263,215,France,22,233
263,Sascha Gueymard Wayenburg,264,215,France,27,246
264,Mili Poljičak,265,215,Croatia,24,259
265,Frederico Ferreira Silva,266,214,Portugal,22,168
266,Valentin Vacherot,267,213,Monaco,32,110
267,Andres Andrade,268,213,Ecuador,23,232
268,Ryan Peniston,269,213,United Kingdom,23,123
269,Ivan Gakhov,270,213,Russia,27,142
270,Max Hans Rehberg,271,210,Germany,20,230
271,Denis Yevseyev,272,210,Kazakhstan,29,153
272,Alex Barrena,273,207,Argentina,23,273
273,Mathys Erhard,274,207,France,30,265
274,Lorenzo Giustino,275,206,Italy,27,127
275,Carlos Sanchez Jover,276,205,Spain,26,260
